cdid,DIRECTION,BPM6,PRICE,SEASADJ
FJZP,EX,12.3.N12,CP,NSA
QWUE,EX,12.3.N13,CP,NSA
HCQO,EX,12.3.N2,CP,NSA
FSPY,EX,12.3.N21,CP,NSA
FSPZ,EX,12.3.N22,CP,NSA
CKWW,EX,12.3.N23,CP,NSA
FJZO,EX,12.3.N24,CP,NSA
CKWK,EX,12.3.N25,CP,NSA
CKWL,EX,12.3.N26,CP,NSA
FSQB,EX,12.3.N28,CP,NSA
KTMR,IM,0,CP,NSA
MTN3,IM,1+2,CP,NSA
FJIK,IM,10.3.N4121,CP,NSA
FJIL,IM,10.3.N4122,CP,NSA
FJHR,IM,10.3.N42,CP,NSA
FJHO,IM,10.3.N421,CP,NSA
FJJF,IM,12.N3,CP,NSA
FJQB,IM,3.2.1,CP,NSA
FJQV,IM,3.9+3.10.N1,CP,NSA
E8EF,IM,7.1.N518,CP,NSA
MTN6,IM,1+2,CP,SA
MEY8,IM,1,CP,NSA
MEY9,IM,1.2,CP,NSA
FJPV,IM,3,CP,NSA
FJPW,IM,3.1,CP,NSA
FJPX,IM,3.1.1,CP,NSA
FJBP,IM,3.1.1.N1,CP,NSA
FJBQ,IM,3.1.1.N2,CP,NSA
FJPY,IM,3.1.2,CP,NSA
FJNI,IM,3.1.2.N1,CP,NSA
HCJO,IM,3.1.2.N11,CP,NSA
FJBS,IM,3.1.2.N13,CP,NSA
FJNL,IM,3.1.2.N2,CP,NSA
HCNJ,IM,3.1.2.N21,CP,NSA
FJBT,IM,3.1.2.N23,CP,NSA
HFAA,IM,3.1.2.N3,CP,NSA
FJPZ,IM,3.1.3,CP,NSA
FJBU,IM,3.1.3.N1,CP,NSA
FJQA,IM,3.2,CP,NSA
FJQC,IM,3.2.2,CP,NSA
FJQD,IM,3.2.3,CP,NSA
FJCA,IM,3.2.3.N1,CP,NSA
FJQE,IM,3.3,CP,NSA
FJQF,IM,3.3.1,CP,NSA
FJQK,IM,3.6.1,CP,NSA
FJQO,IM,3.7.1,CP,NSA
FJQS,IM,3.8.1,CP,NSA
FJQG,IM,3.3.2,CP,NSA
FJQL,IM,3.6.2,CP,NSA
FJQP,IM,3.7.2,CP,NSA
FJQT,IM,3.8.2,CP,NSA
MU98,IM,3.9,CP,NSA
FJQH,IM,3.3.3,CP,NSA
FJQM,IM,3.6.3,CP,NSA
FJCJ,IM,3.7.3,CP,NSA
FJQU,IM,3.8.3,CP,NSA
FJQI,IM,3.5,CP,NSA
MF28,IM,3.1,CP,NSA
MF29,IM,3.10.N1,CP,NSA
FJQW,IM,3.11,CP,NSA
FJEI,IM,3.4,CP,NSA
FJTP,IM,3.4.N1,CP,NSA
FJEG,IM,3.4.N11,CP,NSA
FJCD,IM,3.4.N12,CP,NSA
FSPI,IM,3.4.N13,CP,NSA
FSPJ,IM,3.4.N14,CP,NSA
FJTQ,IM,3.4.N2,CP,NSA
FJEH,IM,3.4.N21,CP,NSA
FKMG,IM,3.4.N22,CP,NSA
APQA,IM,4,CP,NSA
FJQY,IM,4.1,CP,NSA
FJDO,IM,4.1.1,CP,NSA
FJNP,IM,4.1.2,CP,NSA
APQW,IM,4.2,CP,NSA
FJDT,IM,4.2.1,CP,NSA
FJDV,IM,4.2.2,CP,NSA
APPW,IM,4.2.3,CP,NSA
FJDX,IM,4.2.3.N1,CP,NSA
APPO,IM,4.2.3.N2,CP,NSA
FJRA,IM,5,CP,NSA
E9UH,IM,5.1,CP,NSA
FJER,IM,5.2,CP,NSA
FJRB,IM,6,CP,NSA
MSI4,IM,6.1,CP,NSA
FJRD,IM,6.1.2,CP,NSA
MUD9,IM,6.1.2.N1,CP,NSA
FJFB,IM,6.1.2.N2,CP,NSA
FKAJ,IM,6.1.3,CP,NSA
FKHV,IM,6.2,CP,NSA
FJFE,IM,6.3,CP,NSA
MSI5,IM,6.4,CP,NSA
MUB4,IM,6.4.2,CP,NSA
C9NJ,IM,7XF,CP,NSA
FJRE,IM,7,CP,NSA
MUB7,IM,7.1,CP,NSA
FNMS,IM,7.1.N1,CP,NSA
RWMG,IM,7.1.N2,CP,NSA
APSZ,IM,7.1.N3,CP,NSA
APVW,IM,7.1.N41,CP,NSA
ZXTG,IM,7.1.N5,CP,NSA
FJFI,IM,7.1.N511,CP,NSA
FJGB,IM,7.1.N512,CP,NSA
FJXC,IM,7.1.N514,CP,NSA
RWMF,IM,7.1.N515,CP,NSA
HHJQ,IM,7.1.N516,CP,NSA
HHJR,IM,7.1.N517,CP,NSA
C6F7,IM,7F,CP,NSA
MUE2,IM,7.2.N2,CP,NSA
TGZJ,IM,7.2.N21,CP,NSA
TGZU,IM,7.2.N22,CP,NSA
FJRG,IM,8,CP,NSA
EAI8,IM,8.1,CP,NSA
EAJ2,IM,8.2,CP,NSA
FJFP,IM,8.3,CP,NSA
FJFQ,IM,8.4,CP,NSA
MF2A,IM,8.4.N1,CP,NSA
MF2B,IM,8.4.N2,CP,NSA
FJRF,IM,9,CP,NSA
FJEJ,IM,9.1,CP,NSA
FJFL,IM,9.2,CP,NSA
FJDM,IM,9.3,CP,NSA
FJFM,IM,9.3.1,CP,NSA
MUC2,IM,9.3.2,CP,NSA
E9UR,IM,9.3.N21,CP,NSA
TVLP,IM,9.3.N22,CP,NSA
FJRH,IM,10,CP,NSA
FJDQ,IM,10.1,CP,NSA
FJIE,IM,10.1.1,CP,NSA
MUC5,IM,10.1.1.2,CP,NSA
FJRK,IM,10.2,CP,NSA
FJIA,IM,10.2.1,CP,NSA
FJHX,IM,10.2.1.1,CP,NSA
FJHW,IM,10.2.1.N11,CP,NSA
ZSGQ,IM,10.2.1.N12,CP,NSA
FJHY,IM,10.2.1.2,CP,NSA
FJNW,IM,10.2.1.3,CP,NSA
FJHZ,IM,10.2.1.N31,CP,NSA
FJNU,IM,10.2.1.N32,CP,NSA
EAN9,IM,10.2.1.N34,CP,NSA
EAO2,IM,10.2.1.N35,CP,NSA
TVLD,IM,10.2.1.N36,CP,NSA
TVLV,IM,10.2.1.N37,CP,NSA
FJID,IM,10.2.2,CP,NSA
MUD8,IM,10.2.2.N1,CP,NSA
FJIC,IM,10.2.2.N2,CP,NSA
MSI3,IM,10.3,CP,NSA
FJIJ,IM,10.3.1,CP,NSA
FJIF,IM,10.3.1.1,CP,NSA
FJIG,IM,10.3.1.2,CP,NSA
FJIH,IM,10.3.1.3,CP,NSA
MEZ2,IM,10.3.1.3.N1,CP,NSA
MEZ3,IM,10.3.1.3.N2,CP,NSA
FJIN,IM,10.3.2,CP,NSA
MEZ4,IM,10.3.2.1,CP,NSA
MEZ5,IM,10.3.2.2,CP,NSA
MEZ6,IM,10.3.2.3,CP,NSA
FJDR,IM,10.3.2.N4,CP,NSA
FJRJ,IM,10.3.3,CP,NSA
FJHS,IM,10.3.N31,CP,NSA
FINL,IM,10.3.N32,CP,NSA
MEZ7,IM,10.3.4,CP,NSA
MEZ8,IM,10.3.N41,CP,NSA
FJIM,IM,10.3.N411,CP,NSA
MF22,IM,10.3.N4111,CP,NSA
MF23,IM,10.3.N4112,CP,NSA
FJIP,IM,10.3.5,CP,NSA
FJIO,IM,10.3.N51,CP,NSA
FJHQ,IM,10.3.N54,CP,NSA
APWA,IM,10.3.N55,CP,NSA
APXN,IM,10.3.N56,CP,NSA
RWMH,IM,10.3.N57,CP,NSA
TVLJ,IM,10.3.N58,CP,NSA
FJHG,IM,10.3.N59,CP,NSA
FJRL,IM,11,CP,NSA
FJRM,IM,11.1,CP,NSA
FKJX,IM,11.1.1,CP,NSA
FFWN,IM,11.1.2,CP,NSA
FJIT,IM,11.1.N21,CP,NSA
FJIU,IM,11.1.N22,CP,NSA
FJRN,IM,11.2,CP,NSA
EAL7,IM,11.2.1,CP,NSA
MUC8,IM,11.2.2,CP,NSA
EAL5,IM,11.2.N23,CP,NSA
FJJY,IM,11.2.3,CP,NSA
MF24,IM,11.2.3.N1,CP,NSA
MF25,IM,11.2.3.N2,CP,NSA
FJRO,IM,12,CP,NSA
FJUJ,IM,12.1,CP,NSA
FJJD,IM,12.2,CP,NSA
FJJD,IM,12.2.N2,CP,NSA
FJKD,IM,12.3.N22,CP,NSA
CKWV,IM,12.3.N23,CP,NSA
FGZT,IM,12.3.N24,CP,NSA
FGZH,IM,12.3.N27,CP,NSA
FGZZ,IM,12.3.N28,CP,NSA
MF27,IM,2,CP,NSA
FJOR,EX,3.6.3,CP,NSA
FJOV,EX,3.7.3,CP,NSA
FJBW,IM,3.1.3.N2,CP,NSA
FJQJ,IM,3.6.3,CP,NSA
FJQN,IM,3.7.3,CP,NSA
FJSD,BAL,3.6.3,CP,NSA
FJSH,BAL,3.7.3,CP,NSA
FJEW,EX,6.1.3,CP,NSA
FJFD,IM,6.2,CP,NSA
FJAS,EX,9.1,CP,NSA
FJCN,EX,9.2,CP,NSA
FJAT,IM,9.1,CP,NSA
FJDL,IM,9.2,CP,NSA
FJBX,EX,10.2.1.2,CP,NSA
FJVJ,IM,10.2.1.2,CP,NSA
