cdid,COMMODITY,AREA,DIRECTION,BASIS,PRICE,SEASADJ
SLZX,87plus88C,EU,EX,BOP,VM,SA
SMDX,87plus88K,EU,EX,BOP,VM,SA
SJTJ,68minusS,EU,EX,BOP,VM,SA
LKUL,TminusO,EU,EX,BOP,VM,SA
SEWG,6minusPS,EU,EX,BOP,VM,SA
SMQD,71minus77,EU,EX,BOP,VM,SA
SIVL,57plus58,EU,EX,BOP,VM,SA
SGMC,5minus8,EU,EX,BOP,VM,SA
SFJR,7plus8,EU,EX,BOP,VM,SA
SDTY,2plus4,EU,EX,BOP,VM,SA
SMYR,87plus88,EU,EX,BOP,VM,SA
SMBX,87plus88I,EU,EX,BOP,VM,SA
SDDE,TminusE,EU,EX,BOP,VM,SA
SHBS,TminusOE,EU,EX,BOP,VM,SA
SGED,792and3,EU,EX,BOP,VM,SA
SIXL,56plus59,EU,EX,BOP,VM,SA
SIVZ,57plus58,EU,IM,OTS,CP,NSA
SGMV,5minus8,EU,IM,OTS,CP,NSA
SETS,5plus6,EU,IM,OTS,CP,NSA
SFOH,7plus8C,EU,IM,OTS,CP,NSA
SFTR,7plus8I,EU,IM,OTS,CP,NSA
SFZB,7plus8K,EU,IM,OTS,CP,NSA
SMZF,87plus88,EU,IM,OTS,CP,NSA
SMEL,87plus88I,EU,IM,OTS,CP,NSA
SDOO,0plus1,EU,IM,OTS,CP,NSA
SJTX,68minusS,EU,IM,OTS,CP,NSA
LKVE,TminusO,EU,IM,OTS,CP,NSA
SEWX,6minusPS,EU,IM,OTS,CP,NSA
SIXZ,56plus59,EU,IM,OTS,CP,NSA
SFKK,7plus8,EU,IM,OTS,CP,NSA
SDUQ,2plus4,EU,IM,OTS,CP,NSA
SMXF,84plus85,EU,IM,OTS,CP,NSA
SMAL,87plus88C,EU,IM,OTS,CP,NSA
SMCL,87plus88K,EU,IM,OTS,CP,NSA
SMGL,04plus08,EU,IM,OTS,CP,NSA
SDDY,TminusE,EU,IM,OTS,CP,NSA
SHCP,TminusOE,EU,IM,OTS,CP,NSA
SGEU,792and3,EU,IM,OTS,CP,NSA
SIWB,57plus58,EU,IM,OTS,CVM,NSA
SGMY,5minus8,EU,IM,OTS,CVM,NSA
SETV,5plus6,EU,IM,OTS,CVM,NSA
SFOI,7plus8C,EU,IM,OTS,CVM,NSA
SFTS,7plus8I,EU,IM,OTS,CVM,NSA
SFZC,7plus8K,EU,IM,OTS,CVM,NSA
SDOP,0plus1,EU,IM,OTS,CVM,NSA
SMZH,87plus88,EU,IM,OTS,CVM,NSA
SMCN,87plus88I,EU,IM,OTS,CVM,NSA
SJTZ,68minusS,EU,IM,OTS,CVM,NSA
LKVH,TminusO,EU,IM,OTS,CVM,NSA
SEWY,6minusPS,EU,IM,OTS,CVM,NSA
SIYB,56plus59,EU,IM,OTS,CVM,NSA
SFKN,7plus8,EU,IM,OTS,CVM,NSA
SDUR,2plus4,EU,IM,OTS,CVM,NSA
SMXH,84plus85,EU,IM,OTS,CVM,NSA
SMGN,04plus08,EU,IM,OTS,CVM,NSA
SMAN,87plus88C,EU,IM,OTS,CVM,NSA
SMEN,87plus88K,EU,IM,OTS,CVM,NSA
SDEB,TminusE,EU,IM,OTS,CVM,NSA
SHCS,TminusOE,EU,IM,OTS,CVM,NSA
SGEV,792and3,EU,IM,OTS,CVM,NSA
SIWA,57plus58,EU,IM,OTS,KQ,NSA
SGMX,5minus8,EU,IM,OTS,KQ,NSA
SETU,5plus6,EU,IM,OTS,KQ,NSA
SFOJ,7plus8C,EU,IM,OTS,KQ,NSA
SFTT,7plus8I,EU,IM,OTS,KQ,NSA
SFZD,7plus8K,EU,IM,OTS,KQ,NSA
SDOQ,0plus1,EU,IM,OTS,KQ,NSA
SMZG,87plus88,EU,IM,OTS,KQ,NSA
SMCM,87plus88I,EU,IM,OTS,KQ,NSA
SJTY,68minusS,EU,IM,OTS,KQ,NSA
LKVG,TminusO,EU,IM,OTS,KQ,NSA
SEWZ,6minusPS,EU,IM,OTS,KQ,NSA
SIYA,56plus59,EU,IM,OTS,KQ,NSA
SFKM,7plus8,EU,IM,OTS,KQ,NSA
SDUS,2plus4,EU,IM,OTS,KQ,NSA
SMXG,84plus85,EU,IM,OTS,KQ,NSA
SMGM,04plus08,EU,IM,OTS,KQ,NSA
SMAM,87plus88C,EU,IM,OTS,KQ,NSA
SMEM,87plus88K,EU,IM,OTS,KQ,NSA
SDEA,TminusE,EU,IM,OTS,KQ,NSA
SHCR,TminusOE,EU,IM,OTS,KQ,NSA
SGEW,792and3,EU,IM,OTS,KQ,NSA
SGMK,5minus8,EU,IM,BOP,CP,NSA
SETH,5plus6,EU,IM,BOP,CP,NSA
SFOA,7plus8C,EU,IM,BOP,CP,NSA
SFTL,7plus8I,EU,IM,BOP,CP,NSA
SFYV,7plus8K,EU,IM,BOP,CP,NSA
SMGB,04plus08,EU,IM,BOP,CP,NSA
SDOI,0plus1,EU,IM,BOP,CP,NSA
SMWV,84plus85,EU,IM,BOP,CP,NSA
SMAB,87plus88C,EU,IM,BOP,CP,NSA
SMEB,87plus88K,EU,IM,BOP,CP,NSA
LKUT,TminusO,EU,IM,BOP,CP,NSA
SEWR,6minusPS,EU,IM,BOP,CP,NSA
SIVP,57plus58,EU,IM,BOP,CP,NSA
SFJZ,7plus8,EU,IM,BOP,CP,NSA
SDUK,2plus4,EU,IM,BOP,CP,NSA
SMYV,87plus88,EU,IM,BOP,CP,NSA
SMCB,87plus88I,EU,IM,BOP,CP,NSA
SJTN,68minusS,EU,IM,BOP,CP,NSA
SDDM,TminusE,EU,IM,BOP,CP,NSA
SHCB,TminusOE,EU,IM,BOP,CP,NSA
SMQH,71minus77,EU,IM,BOP,CP,NSA
SIXP,56plus59,EU,IM,BOP,CP,NSA
SGEO,792and3,EU,IM,BOP,CP,NSA
SGML,5minus8,EU,IM,BOP,CP,SA
SETI,5plus6,EU,IM,BOP,CP,SA
SFOR,7plus8C,EU,IM,BOP,CP,SA
SFUB,7plus8I,EU,IM,BOP,CP,SA
SFZL,7plus8K,EU,IM,BOP,CP,SA
SDOY,0plus1,EU,IM,BOP,CP,SA
SMWW,84plus85,EU,IM,BOP,CP,SA
SMGC,04plus08,EU,IM,BOP,CP,SA
SMAC,87plus88C,EU,IM,BOP,CP,SA
SMEC,87plus88K,EU,IM,BOP,CP,SA
LKUU,TminusO,EU,IM,BOP,CP,SA
SEXH,6minusPS,EU,IM,BOP,CP,SA
SIVQ,57plus58,EU,IM,BOP,CP,SA
SFKA,7plus8,EU,IM,BOP,CP,SA
SDVA,2plus4,EU,IM,BOP,CP,SA
SMYW,87plus88,EU,IM,BOP,CP,SA
SMCC,87plus88I,EU,IM,BOP,CP,SA
SJTO,68minusS,EU,IM,BOP,CP,SA
SDDO,TminusE,EU,IM,BOP,CP,SA
SHCC,TminusOE,EU,IM,BOP,CP,SA
SMQI,71minus77,EU,IM,BOP,CP,SA
SIXQ,56plus59,EU,IM,BOP,CP,SA
SGFE,792and3,EU,IM,BOP,CP,SA
SGMN,5minus8,EU,IM,BOP,CVM,NSA
SETK,5plus6,EU,IM,BOP,CVM,NSA
SFOB,7plus8C,EU,IM,BOP,CVM,NSA
SFTM,7plus8I,EU,IM,BOP,CVM,NSA
SFYW,7plus8K,EU,IM,BOP,CVM,NSA
SDOJ,0plus1,EU,IM,BOP,CVM,NSA
SMWY,84plus85,EU,IM,BOP,CVM,NSA
SMGE,04plus08,EU,IM,BOP,CVM,NSA
SMAE,87plus88C,EU,IM,BOP,CVM,NSA
SMEE,87plus88K,EU,IM,BOP,CVM,NSA
LKUW,TminusO,EU,IM,BOP,CVM,NSA
SEWS,6minusPS,EU,IM,BOP,CVM,NSA
SIVS,57plus58,EU,IM,BOP,CVM,NSA
SFKC,7plus8,EU,IM,BOP,CVM,NSA
SDUL,2plus4,EU,IM,BOP,CVM,NSA
SMYY,87plus88,EU,IM,BOP,CVM,NSA
SMCE,87plus88I,EU,IM,BOP,CVM,NSA
SJTQ,68minusS,EU,IM,BOP,CVM,NSA
SDDQ,TminusE,EU,IM,BOP,CVM,NSA
SHCG,TminusOE,EU,IM,BOP,CVM,NSA
SMQK,71minus77,EU,IM,BOP,CVM,NSA
SIXS,56plus59,EU,IM,BOP,CVM,NSA
SGEP,792and3,EU,IM,BOP,CVM,NSA
SGMO,5minus8,EU,IM,BOP,CVM,SA
SETL,5plus6,EU,IM,BOP,CVM,SA
SFOV,7plus8C,EU,IM,BOP,CVM,SA
SFUF,7plus8I,EU,IM,BOP,CVM,SA
SFZP,7plus8K,EU,IM,BOP,CVM,SA
SDPC,0plus1,EU,IM,BOP,CVM,SA
SMWZ,84plus85,EU,IM,BOP,CVM,SA
SMGF,04plus08,EU,IM,BOP,CVM,SA
SMAF,87plus88C,EU,IM,BOP,CVM,SA
SMEF,87plus88K,EU,IM,BOP,CVM,SA
LKUX,TminusO,EU,IM,BOP,CVM,SA
SEXL,6minusPS,EU,IM,BOP,CVM,SA
SIVT,57plus58,EU,IM,BOP,CVM,SA
SFKD,7plus8,EU,IM,BOP,CVM,SA
SDVE,2plus4,EU,IM,BOP,CVM,SA
SMYZ,87plus88,EU,IM,BOP,CVM,SA
SMCF,87plus88I,EU,IM,BOP,CVM,SA
SJTR,68minusS,EU,IM,BOP,CVM,SA
SDDR,TminusE,EU,IM,BOP,CVM,SA
SHCH,TminusOE,EU,IM,BOP,CVM,SA
SMQL,71minus77,EU,IM,BOP,CVM,SA
SIXT,56plus59,EU,IM,BOP,CVM,SA
SGFI,792and3,EU,IM,BOP,CVM,SA
SGMS,5minus8,EU,IM,BOP,DEF,NSA
SETP,5plus6,EU,IM,BOP,DEF,NSA
SFOZ,7plus8C,EU,IM,BOP,DEF,NSA
SFUJ,7plus8I,EU,IM,BOP,DEF,NSA
SFZT,7plus8K,EU,IM,BOP,DEF,NSA
SDPG,0plus1,EU,IM,BOP,DEF,NSA
SMXD,84plus85,EU,IM,BOP,DEF,NSA
SMGJ,04plus08,EU,IM,BOP,DEF,NSA
SMAJ,87plus88C,EU,IM,BOP,DEF,NSA
SMEJ,87plus88K,EU,IM,BOP,DEF,NSA
LKVB,TminusO,EU,IM,BOP,DEF,NSA
SEXP,6minusPS,EU,IM,BOP,DEF,NSA
SIVX,57plus58,EU,IM,BOP,DEF,NSA
SFKH,7plus8,EU,IM,BOP,DEF,NSA
SDVI,2plus4,EU,IM,BOP,DEF,NSA
SMZD,87plus88,EU,IM,BOP,DEF,NSA
SMCJ,87plus88I,EU,IM,BOP,DEF,NSA
SJTV,68minusS,EU,IM,BOP,DEF,NSA
SDDV,TminusE,EU,IM,BOP,DEF,NSA
SHCM,TminusOE,EU,IM,BOP,DEF,NSA
SMQP,71minus77,EU,IM,BOP,DEF,NSA
SIXX,56plus59,EU,IM,BOP,DEF,NSA
SGFM,792and3,EU,IM,BOP,DEF,NSA
SGMI,5minus8,EU,IM,BOP,IDEF,NSA
SETF,5plus6,EU,IM,BOP,IDEF,NSA
SFON,7plus8C,EU,IM,BOP,IDEF,NSA
SFTX,7plus8I,EU,IM,BOP,IDEF,NSA
SFZH,7plus8K,EU,IM,BOP,IDEF,NSA
SDOU,0plus1,EU,IM,BOP,IDEF,NSA
LKUR,TminusO,EU,IM,BOP,IDEF,NSA
SEXD,6minusPS,EU,IM,BOP,IDEF,NSA
SFJX,7plus8,EU,IM,BOP,IDEF,NSA
SDUW,2plus4,EU,IM,BOP,IDEF,NSA
SDDK,TminusE,EU,IM,BOP,IDEF,NSA
SHBZ,TminusOE,EU,IM,BOP,IDEF,NSA
SGFA,792and3,EU,IM,BOP,IDEF,NSA
SGMJ,5minus8,EU,IM,BOP,IDEF,SA
SETG,5plus6,EU,IM,BOP,IDEF,SA
SFOO,7plus8C,EU,IM,BOP,IDEF,SA
SFTY,7plus8I,EU,IM,BOP,IDEF,SA
SFZI,7plus8K,EU,IM,BOP,IDEF,SA
SDOV,0plus1,EU,IM,BOP,IDEF,SA
LKUS,TminusO,EU,IM,BOP,IDEF,SA
SEXE,6minusPS,EU,IM,BOP,IDEF,SA
SFJY,7plus8,EU,IM,BOP,IDEF,SA
SDUX,2plus4,EU,IM,BOP,IDEF,SA
SDDL,TminusE,EU,IM,BOP,IDEF,SA
SHCA,TminusOE,EU,IM,BOP,IDEF,SA
SGFB,792and3,EU,IM,BOP,IDEF,SA
SGMT,5minus8,EU,IM,BOP,VM,NSA
SETQ,5plus6,EU,IM,BOP,VM,NSA
SFPA,7plus8C,EU,IM,BOP,VM,NSA
SFUK,7plus8I,EU,IM,BOP,VM,NSA
SFZU,7plus8K,EU,IM,BOP,VM,NSA
SDPH,0plus1,EU,IM,BOP,VM,NSA
LKVC,TminusO,EU,IM,BOP,VM,NSA
SEXQ,6minusPS,EU,IM,BOP,VM,NSA
SFKI,7plus8,EU,IM,BOP,VM,NSA
SDVJ,2plus4,EU,IM,BOP,VM,NSA
SDDW,TminusE,EU,IM,BOP,VM,NSA
SHCN,TminusOE,EU,IM,BOP,VM,NSA
SGFN,792and3,EU,IM,BOP,VM,NSA
SIVY,57plus58,EU,IM,BOP,VM,SA
SGMU,5minus8,EU,IM,BOP,VM,SA
SETR,5plus6,EU,IM,BOP,VM,SA
SFPB,7plus8C,EU,IM,BOP,VM,SA
SFUL,7plus8I,EU,IM,BOP,VM,SA
SFZV,7plus8K,EU,IM,BOP,VM,SA
SDPJ,0plus1,EU,IM,BOP,VM,SA
SMZE,87plus88,EU,IM,BOP,VM,SA
SMCK,87plus88I,EU,IM,BOP,VM,SA
SJTW,68minusS,EU,IM,BOP,VM,SA
LKVD,TminusO,EU,IM,BOP,VM,SA
SEXR,6minusPS,EU,IM,BOP,VM,SA
SMQQ,71minus77,EU,IM,BOP,VM,SA
