cdid,COUNTRY,DIRECTION,BASIS,SEASADJ,PERIOD,COMMODITY,PRICE
J9C5,US,EX,BOP,SA,A,T,CP
J9C5,US,EX,BOP,SA,M,T,CP
J9C5,US,EX,BOP,SA,Q,T,CP
J9C6,US,IM,BOP,SA,A,T,CP
J9C6,US,IM,BOP,SA,M,T,CP
J9C6,US,IM,BOP,SA,Q,T,CP
EPOA,AU,BAL,BOP,SA,A,T,CP
EPOA,AU,BAL,BOP,SA,M,T,CP
EPOA,AU,BAL,BOP,SA,Q,T,CP
EPMA,AU,EX,BOP,SA,A,T,CP
EPMA,AU,EX,BOP,SA,M,T,CP
EPMA,AU,EX,BOP,SA,Q,T,CP
EPNA,AU,IM,BOP,SA,A,T,CP
EPNA,AU,IM,BOP,SA,M,T,CP
EPNA,AU,IM,BOP,SA,Q,T,CP
EOCR,JP,BAL,BOP,SA,A,T,CP
EOCR,JP,BAL,BOP,SA,M,T,CP
EOCR,JP,BAL,BOP,SA,Q,T,CP
EOBD,JP,EX,BOP,SA,A,T,CP
EOBD,JP,EX,BOP,SA,M,T,CP
EOBD,JP,EX,BOP,SA,Q,T,CP
EOBX,JP,IM,BOP,SA,A,T,CP
EOBX,JP,IM,BOP,SA,M,T,CP
EOBX,JP,IM,BOP,SA,Q,T,CP
EPOB,NZ,BAL,BOP,SA,A,T,CP
EPOB,NZ,BAL,BOP,SA,M,T,CP
EPOB,NZ,BAL,BOP,SA,Q,T,CP
EPMB,NZ,EX,BOP,SA,A,T,CP
EPMB,NZ,EX,BOP,SA,M,T,CP
EPMB,NZ,EX,BOP,SA,Q,T,CP
EPNB,NZ,IM,BOP,SA,A,T,CP
EPNB,NZ,IM,BOP,SA,M,T,CP
EPNB,NZ,IM,BOP,SA,Q,T,CP
EREK,KR,BAL,BOP,SA,A,T,CP
EREK,KR,BAL,BOP,SA,M,T,CP
EREK,KR,BAL,BOP,SA,Q,T,CP
ERDM,KR,EX,BOP,SA,A,T,CP
ERDM,KR,EX,BOP,SA,M,T,CP
ERDM,KR,EX,BOP,SA,Q,T,CP
ERDY,KR,IM,BOP,SA,A,T,CP
ERDY,KR,IM,BOP,SA,M,T,CP
ERDY,KR,IM,BOP,SA,Q,T,CP
EREG,SA,BAL,BOP,SA,A,T,CP
EREG,SA,BAL,BOP,SA,M,T,CP
EREG,SA,BAL,BOP,SA,Q,T,CP
ERDI,SA,EX,BOP,SA,A,T,CP
ERDI,SA,EX,BOP,SA,M,T,CP
ERDI,SA,EX,BOP,SA,Q,T,CP
ERDU,SA,IM,BOP,SA,A,T,CP
ERDU,SA,IM,BOP,SA,M,T,CP
ERDU,SA,IM,BOP,SA,Q,T,CP
J8YG,AE,BAL,BOP,SA,A,T,CP
J8YG,AE,BAL,BOP,SA,M,T,CP
J8YG,AE,BAL,BOP,SA,Q,T,CP
J8YH,AE,EX,BOP,SA,A,T,CP
J8YH,AE,EX,BOP,SA,M,T,CP
J8YH,AE,EX,BOP,SA,Q,T,CP
J8YI,AE,IM,BOP,SA,A,T,CP
J8YI,AE,IM,BOP,SA,M,T,CP
J8YI,AE,IM,BOP,SA,Q,T,CP
QATD,KW,BAL,BOP,SA,A,T,CP
QATD,KW,BAL,BOP,SA,M,T,CP
QATD,KW,BAL,BOP,SA,Q,T,CP
QATB,KW,EX,BOP,SA,A,T,CP
QATB,KW,EX,BOP,SA,M,T,CP
QATB,KW,EX,BOP,SA,Q,T,CP
QATC,KW,IM,BOP,SA,A,T,CP
QATC,KW,IM,BOP,SA,M,T,CP
QATC,KW,IM,BOP,SA,Q,T,CP
KO2S,QA,BAL,BOP,SA,A,T,CP
KO2S,QA,BAL,BOP,SA,M,T,CP
KO2S,QA,BAL,BOP,SA,Q,T,CP
KO2T,QA,EX,BOP,SA,A,T,CP
KO2T,QA,EX,BOP,SA,M,T,CP
KO2T,QA,EX,BOP,SA,Q,T,CP
KO2U,QA,IM,BOP,SA,A,T,CP
KO2U,QA,IM,BOP,SA,M,T,CP
KO2U,QA,IM,BOP,SA,Q,T,CP
KO2M,DZ,BAL,BOP,SA,A,T,CP
KO2M,DZ,BAL,BOP,SA,M,T,CP
KO2M,DZ,BAL,BOP,SA,Q,T,CP
KO2N,DZ,EX,BOP,SA,A,T,CP
KO2N,DZ,EX,BOP,SA,M,T,CP
KO2N,DZ,EX,BOP,SA,Q,T,CP
KO2O,DZ,IM,BOP,SA,A,T,CP
KO2O,DZ,IM,BOP,SA,M,T,CP
KO2O,DZ,IM,BOP,SA,Q,T,CP
QALH,BN,BAL,BOP,SA,A,T,CP
QALH,BN,BAL,BOP,SA,M,T,CP
QALH,BN,BAL,BOP,SA,Q,T,CP
QALF,BN,EX,BOP,SA,A,T,CP
QALF,BN,EX,BOP,SA,M,T,CP
QALF,BN,EX,BOP,SA,Q,T,CP
QALG,BN,IM,BOP,SA,A,T,CP
QALG,BN,IM,BOP,SA,M,T,CP
QALG,BN,IM,BOP,SA,Q,T,CP
FKMT,ID,BAL,BOP,SA,A,T,CP
FKMT,ID,BAL,BOP,SA,M,T,CP
FKMT,ID,BAL,BOP,SA,Q,T,CP
FKMR,ID,EX,BOP,SA,A,T,CP
FKMR,ID,EX,BOP,SA,M,T,CP
FKMR,ID,EX,BOP,SA,Q,T,CP
FKMS,ID,IM,BOP,SA,A,T,CP
FKMS,ID,IM,BOP,SA,M,T,CP
FKMS,ID,IM,BOP,SA,Q,T,CP
E6AG,IR,BAL,BOP,SA,A,T,CP
E6AG,IR,BAL,BOP,SA,M,T,CP
E6AG,IR,BAL,BOP,SA,Q,T,CP
E4ZS,IR,EX,BOP,SA,A,T,CP
E4ZS,IR,EX,BOP,SA,M,T,CP
E4ZS,IR,EX,BOP,SA,Q,T,CP
E4ZV,IR,IM,BOP,SA,A,T,CP
E4ZV,IR,IM,BOP,SA,M,T,CP
E4ZV,IR,IM,BOP,SA,Q,T,CP
KO2P,LY,BAL,BOP,SA,A,T,CP
