cdid,country,direction,basis,unit,adjustment,commodity,decimals
ENGT,ww,imports,bop,cvm,sa,,0
ENGU,ww,imports,bop,cvm,sa,,0
ENGV,ww,imports,bop,cvm,sa,,0
ENGW,ww,imports,bop,cvm,sa,,0
ENGX,ww,imports,bop,cvm,sa,,0
ENHW,ww,imports,bop,idef,sa,,1
ENHX,ww,imports,bop,idef,sa,,1
ENHY,ww,imports,bop,idef,sa,,1
ENHZ,ww,imports,bop,idef,sa,,1
ENIA,ww,imports,bop,idef,sa,,1
ENIB,ww,imports,bop,idef,sa,,1
ENIC,ww,imports,bop,idef,sa,,1
ENID,ww,imports,bop,idef,sa,,1
ENIW,ww,balance,bop,cp,sa,,0
ENIX,ww,balance,bop,cp,sa,,0
ENIY,ww,balance,bop,cp,sa,,0
ENJA,ww,balance,bop,cp,sa,,0
ENJB,ww,balance,bop,cp,sa,,0
ENJC,ww,balance,bop,cp,sa,,0
ENJD,ww,balance,bop,cp,sa,,0
ENJE,ww,balance,bop,cp,sa,,0
ENVB,ww,imports,bop,cp,sa,,0
ENVC,ww,imports,bop,cp,sa,,0
ENXO,ww,imports,bop,cp,sa,,0
ENXP,ww,imports,bop,cp,sa,,0
ENXQ,ww,balance,bop,cp,sa,,0
EOBA,turkey,exports,bop,cp,sa,,0
EOBU,turkey,imports,bop,cp,sa,,0
EOCO,turkey,balance,bop,cp,sa,,0
EPJX,mexico,exports,bop,cp,sa,,0
EPJY,mexico,imports,bop,cp,sa,,0
EPJZ,mexico,balance,bop,cp,sa,,0
EPLV,switzerland,exports,bop,cp,sa,,0
EPLW,iceland,exports,bop,cp,sa,,0
EPLX,norway,exports,bop,cp,sa,,0
EPMA,australia,exports,bop,cp,sa,,0
EPMB,new-zealand,exports,bop,cp,sa,,0
EPME,south-africa,exports,bop,cp,sa,,0
EPMV,switzerland,imports,bop,cp,sa,,0
EPMW,iceland,imports,bop,cp,sa,,0
EPMX,norway,imports,bop,cp,sa,,0
EPNA,australia,imports,bop,cp,sa,,0
EPNB,new-zealand,imports,bop,cp,sa,,0
EPNE,south-africa,imports,bop,cp,sa,,0
EPNV,switzerland,balance,bop,cp,sa,,0
EPNW,iceland,balance,bop,cp,sa,,0
EPNX,norway,balance,bop,cp,sa,,0
EPOA,australia,balance,bop,cp,sa,,0
EPOB,new-zealand,balance,bop,cp,sa,,0
EPOE,south-africa,balance,bop,cp,sa,,0
EQAH,ww,imports,bop,cp,sa,,0
EQAP,ww,imports,bop,cp,sa,,0
ERDG,hong-kong,exports,bop,cp,sa,,0
ERDH,singapore,exports,bop,cp,sa,,0
ERDI,saudi-arabia,exports,bop,cp,sa,,0
ERDJ,india,exports,bop,cp,sa,,0
ERDK,malaysia,exports,bop,cp,sa,,0
ERDL,israel,exports,bop,cp,sa,,0
ERDM,south-korea,exports,bop,cp,sa,,0
ERDO,thailand,exports,bop,cp,sa,,0
ERDP,taiwan,exports,bop,cp,sa,,0
ERDQ,russia,exports,bop,cp,sa,,0
ERDR,poland,exports,bop,cp,sa,,0
ERDS,hong-kong,imports,bop,cp,sa,,0
ERDT,singapore,imports,bop,cp,sa,,0
ERDU,saudi-arabia,imports,bop,cp,sa,,0
ERDV,india,imports,bop,cp,sa,,0
ERDW,malaysia,imports,bop,cp,sa,,0
ERDX,israel,imports,bop,cp,sa,,0
ERDY,south-korea,imports,bop,cp,sa,,0
EREA,thailand,imports,bop,cp,sa,,0
EREB,taiwan,imports,bop,cp,sa,,0
EREC,russia,imports,bop,cp,sa,,0
ERED,poland,imports,bop,cp,sa,,0
EREE,hong-kong,balance,bop,cp,sa,,0
EREF,singapore,balance,bop,cp,sa,,0
EREG,saudi-arabia,balance,bop,cp,sa,,0
EREH,india,balance,bop,cp,sa,,0
EREI,malaysia,balance,bop,cp,sa,,0
EREJ,israel,balance,bop,cp,sa,,0
EREK,south-korea,balance,bop,cp,sa,,0
EREM,thailand,balance,bop,cp,sa,,0
EREN,taiwan,balance,bop,cp,sa,,0
EREO,russia,balance,bop,cp,sa,,0
EREP,poland,balance,bop,cp,sa,,0
FKML,czech-republic,exports,bop,cp,sa,,0
FKMM,czech-republic,imports,bop,cp,sa,,0
FKMN,czech-republic,balance,bop,cp,sa,,0
FKMO,brazil,exports,bop,cp,sa,,0
FKMP,brazil,imports,bop,cp,sa,,0
FKMQ,brazil,balance,bop,cp,sa,,0
FKMR,indonesia,exports,bop,cp,sa,,0
FKMS,indonesia,imports,bop,cp,sa,,0
FKMT,indonesia,balance,bop,cp,sa,,0
FKMU,pakistan,exports,bop,cp,sa,,0
FKMV,pakistan,imports,bop,cp,sa,,0
FKMW,pakistan,balance,bop,cp,sa,,0
FKMX,philippines,exports,bop,cp,sa,,0
FKMY,philippines,imports,bop,cp,sa,,0
FKMZ,philippines,balance,bop,cp,sa,,0
FSA2,ww,exports,bop,cp,sa,,0
FSA3,ww,imports,bop,cp,sa,,0
FSA4,ww,balance,bop,cp,sa,,0
FSB3,ww,exports,bop,cp,sa,,0
FSB4,ww,imports,bop,cp,sa,,0
FSB5,ww,balance,bop,cp,sa,,0
FSIC,ww,balance,bop,cp,sa,,0
FSID,ww,balance,bop,cp,sa,,0
FSIE,ww,balance,bop,cp,sa,,0
FSIF,ww,imports,bop,cp,sa,,0
FSIG,ww-ttlesspm,imports,bop,cp,sa,,0
FSIH,ww,imports,bop,cp,sa,,0
FSII,ww,exports,bop,cp,sa,,0
FSIJ,ww-ttlesspm,exports,bop,cp,sa,,0
FSIK,ww,exports,bop,cp,sa,,0
FSJ4,eu,imports,bop,cp,sa,,0
FSJ6,eu,exports,bop,cp,sa,,0
FSJ7,eu,balance,bop,cp,sa,,0
FSJ8,non-eu,imports,bop,cp,sa,,0
FSJ9,non-eu,exports,bop,cp,sa,,0
FSK2,non-eu,balance,bop,cp,sa,,0
IKBB,ww,exports,bop,cp,sa,,0
IKBC,ww,imports,bop,cp,sa,,0
IKBD,ww,balance,bop,cp,sa,,0
IKBE,ww,exports,bop,cvm,sa,,1
IKBF,ww,imports,bop,cvm,sa,,1
IKBG,ww,balance,bop,cvm,sa,,1
IKBH,ww,exports,bop,cp,sa,,0
IKBI,ww,imports,bop,cp,sa,,0
IKBJ,ww,balance,bop,cp,sa,,0
IKBK,ww,exports,bop,cvm,sa,,1
IKBL,ww,imports,bop,cvm,sa,,1
IKBM,ww,balance,bop,cvm,sa,,1
J8YG,united-arab-emirates,balance,bop,cp,sa,,0
J8YH,united-arab-emirates,exports,bop,cp,sa,,0
J8YI,united-arab-emirates,imports,bop,cp,sa,,0
J9C4,united-states-inc-puerto-rico,balance,bop,cp,sa,,0
J9C5,united-states-inc-puerto-rico,exports,bop,cp,sa,,0
J9C6,united-states-inc-puerto-rico,imports,bop,cp,sa,,0
JYVJ,eu,exports,bop,cvm,sa,,0
JYVW,eu,imports,bop,cvm,sa,,0
JYWJ,non-eu,exports,bop,cvm,sa,,0
JYYZ,non-eu,imports,bop,cvm,sa,,0
JYZM,eu,exports,bop,cvm,sa,,0
JYZZ,eu,imports,bop,cvm,sa,,0
JZBM,non-eu,exports,bop,cvm,sa,,0
JZEC,non-eu,imports,bop,cvm,sa,,0
